UTC,Open,High,Low,Close,Volume
03.01.2022 04:10:00.000 UTC,1825.608,1825.628,1825.418,1825.458,0.01064
03.01.2022 04:11:00.000 UTC,1825.458,1825.538,1825.418,1825.508,0.00755
03.01.2022 04:12:00.000 UTC,1825.408,1825.488,1825.408,1825.418,0.00814
03.01.2022 04:13:00.000 UTC,1825.328,1825.328,1825.088,1825.228,0.00703
03.01.2022 04:14:00.000 UTC,1825.238,1825.398,1825.238,1825.348,0.00943
03.01.2022 04:15:00.000 UTC,1825.314,1825.368,1825.308,1825.328,0.00977
03.01.2022 04:16:00.000 UTC,1825.258,1825.408,1825.258,1825.358,0.00452
03.01.2022 04:17:00.000 UTC,1825.398,1825.428,1825.388,1825.388,0.00666
03.01.2022 04:18:00.000 UTC,1825.438,1825.628,1825.438,1825.548,0.01036
03.01.2022 04:19:00.000 UTC,1825.568,1825.618,1825.488,1825.568,0.00691
03.01.2022 04:20:00.000 UTC,1825.588,1825.638,1825.538,1825.538,0.00407
03.01.2022 04:21:00.000 UTC,1825.538,1825.548,1825.468,1825.538,0.00444
03.01.2022 04:22:00.000 UTC,1825.538,1825.608,1825.468,1825.518,0.01043
03.01.2022 04:23:00.000 UTC,1825.518,1825.548,1825.518,1825.538,0.00333
03.01.2022 04:24:00.000 UTC,1825.528,1825.654,1825.528,1825.608,0.00814
03.01.2022 04:25:00.000 UTC,1825.608,1825.678,1825.508,1825.678,0.00741
03.01.2022 04:26:00.000 UTC,1825.668,1825.738,1825.608,1825.658,0.00902
03.01.2022 04:27:00.000 UTC,1825.678,1825.778,1825.654,1825.718,0.00777
03.01.2022 04:28:00.000 UTC,1825.718,1825.728,1825.658,1825.688,0.01616
03.01.2022 04:29:00.000 UTC,1825.678,1825.728,1825.678,1825.688,0.00686
03.01.2022 04:30:00.000 UTC,1825.728,1825.818,1825.668,1825.708,0.00712
03.01.2022 04:31:00.000 UTC,1825.714,1825.778,1825.714,1825.758,0.00805
03.01.2022 04:32:00.000 UTC,1825.764,1825.854,1825.654,1825.664,0.00604
03.01.2022 04:33:00.000 UTC,1825.658,1825.658,1825.454,1825.464,0.00619
03.01.2022 04:34:00.000 UTC,1825.474,1825.484,1825.344,1825.364,0.00313
03.01.2022 04:35:00.000 UTC,1825.389,1825.498,1825.389,1825.428,0.00428
03.01.2022 04:36:00.000 UTC,1825.434,1825.498,1825.408,1825.408,0.00508
03.01.2022 04:37:00.000 UTC,1825.428,1825.498,1825.408,1825.418,0.0128
03.01.2022 04:38:00.000 UTC,1825.428,1825.438,1825.348,1825.398,0.00639
03.01.2022 04:39:00.000 UTC,1825.398,1825.528,1825.388,1825.528,0.00427
03.01.2022 04:40:00.000 UTC,1825.539,1825.638,1825.398,1825.438,0.01045
03.01.2022 04:41:00.000 UTC,1825.478,1825.638,1825.478,1825.638,0.00457
03.01.2022 04:42:00.000 UTC,1825.628,1825.698,1825.628,1825.658,0.00557
03.01.2022 04:43:00.000 UTC,1825.618,1825.618,1825.398,1825.398,0.00623
03.01.2022 04:44:00.000 UTC,1825.438,1825.488,1825.378,1825.488,0.00494
03.01.2022 04:45:00.000 UTC,1825.468,1825.468,1825.348,1825.428,0.00888
03.01.2022 04:46:00.000 UTC,1825.428,1825.498,1825.198,1825.198,0.02035
03.01.2022 04:47:00.000 UTC,1825.188,1825.218,1825.038,1825.168,0.01749
03.01.2022 04:48:00.000 UTC,1825.168,1825.178,1825.118,1825.138,0.01258
03.01.2022 04:49:00.000 UTC,1825.178,1825.218,1825.128,1825.138,0.01143
03.01.2022 04:50:00.000 UTC,1825.158,1825.168,1824.968,1824.968,0.01029
03.01.2022 04:51:00.000 UTC,1824.998,1825.018,1824.848,1824.848,0.00896
03.01.2022 04:52:00.000 UTC,1824.818,1824.868,1824.678,1824.738,0.01582
03.01.2022 04:53:00.000 UTC,1824.698,1824.708,1824.538,1824.578,0.01483
03.01.2022 04:54:00.000 UTC,1824.538,1824.598,1824.448,1824.488,0.02391
03.01.2022 04:55:00.000 UTC,1824.488,1824.768,1824.488,1824.594,0.01281
03.01.2022 04:56:00.000 UTC,1824.594,1824.644,1824.578,1824.628,0.00539
03.01.2022 04:57:00.000 UTC,1824.618,1824.814,1824.608,1824.808,0.00806
03.01.2022 04:58:00.000 UTC,1824.808,1824.898,1824.798,1824.898,0.00978
